"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that clicking footer links navigates to the correct pages by checking the page headers.","2848","Test Footer Navigation to ""Product Returns"" Page","","Wed Sep 25 21:12:37 AMT 2024","passed","Wed Sep 25 21:12:40 AMT 2024","","Footer Navigation Suite","",""
"Test to ensure that menu and submenu links lead to correct pages.","1933","Test Menu and Submenu Navigation","","Wed Sep 25 21:12:22 AMT 2024","passed","Wed Sep 25 21:12:24 AMT 2024","","Menu Test Suite","",""
"This test verifies that clicking footer links navigates to the correct pages by checking the page headers.","1232","Test Footer Navigation to ""Find Your Favorite Brand"" Page","","Wed Sep 25 21:12:40 AMT 2024","passed","Wed Sep 25 21:12:41 AMT 2024","","Footer Navigation Suite","",""
"Verifying that the main menu items on the TutorialsNinja website are clickable and load the correct pages.","10162","Test Main Menu Items Clickability","","Wed Sep 25 21:12:04 AMT 2024","passed","Wed Sep 25 21:12:14 AMT 2024","","Main Menu Test Suite","",""
"This test verifies the search functionality by searching for MacBook and ensuring all products in the results contain ""MacBook"" in their name.","3573","Test Search for MacBook","","Wed Sep 25 21:12:24 AMT 2024","passed","Wed Sep 25 21:12:27 AMT 2024","","Search Functionality Tests","",""
"Test to ensure that menu and submenu links lead to correct pages.","3531","Test Menu and Submenu Navigation","","Wed Sep 25 21:12:16 AMT 2024","passed","Wed Sep 25 21:12:19 AMT 2024","","Menu Test Suite","",""
"This test verifies that clicking footer links navigates to the correct pages by checking the page headers.","2053","Test Footer Navigation to ""Contact Us"" Page","","Wed Sep 25 21:12:35 AMT 2024","passed","Wed Sep 25 21:12:37 AMT 2024","","Footer Navigation Suite","",""
"This test adds a MacBook product to the cart, checks for the success message, and verifies that the cart contains 1 item and includes the MacBook.","2049","Test Adding MacBook to Cart","","Wed Sep 25 21:12:27 AMT 2024","passed","Wed Sep 25 21:12:29 AMT 2024","","Add to Cart Functionality","",""
"This test verifies that the slider on the homepage can navigate between images using the next and previous arrows.","2963","Test Slider Navigation Functionality","","Wed Sep 25 21:12:29 AMT 2024","passed","Wed Sep 25 21:12:32 AMT 2024","","Slider Navigation Tests","",""
"This test verifies that clicking footer links navigates to the correct pages by checking the page headers.","2148","Test Footer Navigation to ""Purchase a Gift Certificate"" Page","","Wed Sep 25 21:12:41 AMT 2024","passed","Wed Sep 25 21:12:44 AMT 2024","","Footer Navigation Suite","",""
"This test verifies adding a MacBook to the wishlist and checking that the product appears on the wishlist page.","3454","Add Product to Wishlist","","Wed Sep 25 21:12:46 AMT 2024","passed","Wed Sep 25 21:12:50 AMT 2024","","Add to Wishlist Tests","",""
"This test verifies that clicking footer links navigates to the correct pages by checking the page headers.","2831","Test Footer Navigation to ""About Us"" Page","","Wed Sep 25 21:12:32 AMT 2024","passed","Wed Sep 25 21:12:35 AMT 2024","","Footer Navigation Suite","",""
"Test to ensure that menu and submenu links lead to correct pages.","2327","Test Menu and Submenu Navigation","","Wed Sep 25 21:12:19 AMT 2024","passed","Wed Sep 25 21:12:22 AMT 2024","","Menu Test Suite","",""
"Test to ensure that menu and submenu links lead to correct pages.","1788","Test Menu and Submenu Navigation","","Wed Sep 25 21:12:14 AMT 2024","passed","Wed Sep 25 21:12:16 AMT 2024","","Menu Test Suite","",""
